Country,Year,CO2 emission (Tons),Area
China,1750,0,9706961
China,1751,0,9706961
China,1752,0,9706961
China,1753,0,9706961
China,1754,0,9706961
China,1755,0,9706961
China,1756,0,9706961
China,1757,0,9706961
China,1758,0,9706961
China,1759,0,9706961
China,1760,0,9706961
China,1761,0,9706961
China,1762,0,9706961
China,1763,0,9706961
China,1764,0,9706961
China,1765,0,9706961
China,1766,0,9706961
China,1767,0,9706961
China,1768,0,9706961
China,1769,0,9706961
China,1770,0,9706961
China,1771,0,9706961
China,1772,0,9706961
China,1773,0,9706961
China,1774,0,9706961
China,1775,0,9706961
China,1776,0,9706961
China,1777,0,9706961
China,1778,0,9706961
China,1779,0,9706961
China,1780,0,9706961
China,1781,0,9706961
China,1782,0,9706961
China,1783,0,9706961
China,1784,0,9706961
China,1785,0,9706961
China,1786,0,9706961
China,1787,0,9706961
China,1788,0,9706961
China,1789,0,9706961
China,1790,0,9706961
China,1791,0,9706961
China,1792,0,9706961
China,1793,0,9706961
China,1794,0,9706961
China,1795,0,9706961
China,1796,0,9706961
China,1797,0,9706961
China,1798,0,9706961
China,1799,0,9706961
China,1800,0,9706961
China,1801,0,9706961
China,1802,0,9706961
China,1803,0,9706961
China,1804,0,9706961
China,1805,0,9706961
China,1806,0,9706961
China,1807,0,9706961
China,1808,0,9706961
China,1809,0,9706961
China,1810,0,9706961
China,1811,0,9706961
China,1812,0,9706961
China,1813,0,9706961
China,1814,0,9706961
China,1815,0,9706961
China,1816,0,9706961
China,1817,0,9706961
China,1818,0,9706961
China,1819,0,9706961
China,1820,0,9706961
China,1821,0,9706961
China,1822,0,9706961
China,1823,0,9706961
China,1824,0,9706961
China,1825,0,9706961
China,1826,0,9706961
China,1827,0,9706961
China,1828,0,9706961
China,1829,0,9706961
China,1830,0,9706961
China,1831,0,9706961
China,1832,0,9706961
China,1833,0,9706961
China,1834,0,9706961
China,1835,0,9706961
China,1836,0,9706961
China,1837,0,9706961
China,1838,0,9706961
China,1839,0,9706961
China,1840,0,9706961
China,1841,0,9706961
China,1842,0,9706961
China,1843,0,9706961
China,1844,0,9706961
China,1845,0,9706961
China,1846,0,9706961
China,1847,0,9706961
China,1848,0,9706961
China,1849,0,9706961
China,1850,0,9706961
China,1851,0,9706961
China,1852,0,9706961
China,1853,0,9706961
China,1854,0,9706961
China,1855,0,9706961
China,1856,0,9706961
China,1857,0,9706961
China,1858,0,9706961
China,1859,0,9706961
China,1860,0,9706961
China,1861,0,9706961
China,1862,0,9706961
China,1863,0,9706961
China,1864,0,9706961
China,1865,0,9706961
China,1866,0,9706961
China,1867,0,9706961
China,1868,0,9706961
China,1869,0,9706961
China,1870,0,9706961
China,1871,0,9706961
China,1872,0,9706961
China,1873,0,9706961
China,1874,0,9706961
China,1875,0,9706961
China,1876,0,9706961
China,1877,0,9706961
China,1878,0,9706961
China,1879,0,9706961
China,1880,0,9706961
China,1881,0,9706961
China,1882,0,9706961
China,1883,0,9706961
China,1884,0,9706961
China,1885,0,9706961
China,1886,0,9706961
China,1887,0,9706961
China,1888,0,9706961
China,1889,0,9706961
China,1890,0,9706961
China,1891,0,9706961
China,1892,0,9706961
China,1893,0,9706961
China,1894,0,9706961
China,1895,0,9706961
China,1896,0,9706961
China,1897,0,9706961
China,1898,0,9706961
China,1899,95264,9706961
China,1900,95264,9706961
China,1901,95264,9706961
China,1902,190528,9706961
China,1903,2.15443e+06,9706961
China,1904,4.24291e+06,9706961
China,1905,6.54024e+06,9706961
China,1906,2.36511e+07,9706961
China,1907,4.04909e+07,9706961
China,1908,6.32223e+07,9706961
China,1909,8.40595e+07,9706961
China,1910,1.02808e+08,9706961
China,1911,1.30655e+08,9706961
China,1912,1.40441e+08,9706961
China,1913,1.51199e+08,9706961
China,1914,1.66305e+08,9706961
China,1915,1.82394e+08,9706961
China,1916,2.00359e+08,9706961
China,1917,2.2021e+08,9706961
China,1918,2.41252e+08,9706961
China,1919,2.65508e+08,9706961
China,1920,2.92277e+08,9706961
China,1921,3.17566e+08,9706961
China,1922,3.442e+08,9706961
China,1923,3.76351e+08,9706961
China,1924,4.11445e+08,9706961
China,1925,4.44667e+08,9706961
China,1926,4.74257e+08,9706961
China,1927,5.07783e+08,9706961
China,1928,5.4189e+08,9706961
China,1929,5.77695e+08,9706961
China,1930,6.15603e+08,9706961
China,1931,6.55843e+08,9706961
China,1932,6.94428e+08,9706961
China,1933,7.36622e+08,9706961
China,1934,7.85876e+08,9706961
China,1935,8.43473e+08,9706961
China,1936,9.08428e+08,9706961
China,1937,9.68919e+08,9706961
China,1938,1.02422e+09,9706961
China,1939,1.09133e+09,9706961
China,1940,1.17738e+09,9706961
China,1941,1.2849e+09,9706961
China,1942,1.39864e+09,9706961
China,1943,1.49582e+09,9706961
China,1944,1.59359e+09,9706961
China,1945,1.64393e+09,9706961
China,1946,1.67519e+09,9706961
China,1947,1.70875e+09,9706961
China,1948,1.73258e+09,9706961
China,1949,1.79194e+09,9706961
China,1950,1.87078e+09,9706961
China,1951,1.97289e+09,9706961
China,1952,2.10089e+09,9706961
China,1953,2.23468e+09,9706961
China,1954,2.39555e+09,9706961
China,1955,2.58607e+09,9706961
China,1956,2.8019e+09,9706961
China,1957,3.05768e+09,9706961
China,1958,3.5823e+09,9706961
China,1959,4.30245e+09,9706961
China,1960,5.10125e+09,9706961
China,1961,5.67188e+09,9706961
China,1962,6.1315e+09,9706961
China,1963,6.58828e+09,9706961
China,1964,7.04892e+09,9706961
China,1965,7.5492e+09,9706961
China,1966,8.09866e+09,9706961
China,1967,8.55889e+09,9706961
China,1968,9.0544e+09,9706961
China,1969,9.66208e+09,9706961
China,1970,1.047e+10,9706961
China,1971,1.13792e+10,9706961
China,1972,1.23479e+10,9706961
China,1973,1.33562e+10,9706961
China,1974,1.43843e+10,9706961
China,1975,1.55675e+10,9706961
China,1976,1.67939e+10,9706961
China,1977,1.81347e+10,9706961
China,1978,1.96275e+10,9706961
China,1979,2.11532e+10,9706961
China,1980,2.26477e+10,9706961
China,1981,2.41242e+10,9706961
China,1982,2.57308e+10,9706961
China,1983,2.7425e+10,9706961
China,1984,2.92698e+10,9706961
China,1985,3.12679e+10,9706961
China,1986,3.33721e+10,9706961
China,1987,3.56298e+10,9706961
China,1988,3.80557e+10,9706961
China,1989,4.05194e+10,9706961
China,1990,4.30042e+10,9706961
China,1991,4.56103e+10,9706961
China,1992,4.83411e+10,9706961
China,1993,5.12628e+10,9706961
China,1994,5.43628e+10,9706961
China,1995,5.77207e+10,9706961
China,1996,6.12239e+10,9706961
China,1997,6.47341e+10,9706961
China,1998,6.80945e+10,9706961
China,1999,7.14449e+10,9706961
China,2000,7.4884e+10,9706961
China,2001,7.8399e+10,9706961
China,2002,8.22716e+10,9706961
China,2003,8.68166e+10,9706961
China,2004,9.20403e+10,9706961
China,2005,9.79169e+10,9706961
China,2006,1.04e+11,9706961
China,2007,1.11e+11,9706961
China,2008,1.19e+11,9706961
China,2009,1.27e+11,9706961
China,2010,1.35e+11,9706961
China,2011,1.45e+11,9706961
China,2012,1.55e+11,9706961
China,2013,1.65e+11,9706961
China,2014,1.75e+11,9706961
China,2015,1.84e+11,9706961
China,2016,1.94e+11,9706961
China,2017,2.04e+11,9706961
China,2018,2.14e+11,9706961
China,2019,2.25e+11,9706961
China,2020,2.36e+11,9706961
