Country,Density(km2),Year,CO2 emission (Tons),Population(2022)
China,147/km²,1750,0,1425887337
China,147/km²,1751,0,1425887337
China,147/km²,1752,0,1425887337
China,147/km²,1753,0,1425887337
China,147/km²,1754,0,1425887337
China,147/km²,1755,0,1425887337
China,147/km²,1756,0,1425887337
China,147/km²,1757,0,1425887337
China,147/km²,1758,0,1425887337
China,147/km²,1759,0,1425887337
China,147/km²,1760,0,1425887337
China,147/km²,1761,0,1425887337
China,147/km²,1762,0,1425887337
China,147/km²,1763,0,1425887337
China,147/km²,1764,0,1425887337
China,147/km²,1765,0,1425887337
China,147/km²,1766,0,1425887337
China,147/km²,1767,0,1425887337
China,147/km²,1768,0,1425887337
China,147/km²,1769,0,1425887337
China,147/km²,1770,0,1425887337
China,147/km²,1771,0,1425887337
China,147/km²,1772,0,1425887337
China,147/km²,1773,0,1425887337
China,147/km²,1774,0,1425887337
China,147/km²,1775,0,1425887337
China,147/km²,1776,0,1425887337
China,147/km²,1777,0,1425887337
China,147/km²,1778,0,1425887337
China,147/km²,1779,0,1425887337
China,147/km²,1780,0,1425887337
China,147/km²,1781,0,1425887337
China,147/km²,1782,0,1425887337
China,147/km²,1783,0,1425887337
China,147/km²,1784,0,1425887337
China,147/km²,1785,0,1425887337
China,147/km²,1786,0,1425887337
China,147/km²,1787,0,1425887337
China,147/km²,1788,0,1425887337
China,147/km²,1789,0,1425887337
China,147/km²,1790,0,1425887337
China,147/km²,1791,0,1425887337
China,147/km²,1792,0,1425887337
China,147/km²,1793,0,1425887337
China,147/km²,1794,0,1425887337
China,147/km²,1795,0,1425887337
China,147/km²,1796,0,1425887337
China,147/km²,1797,0,1425887337
China,147/km²,1798,0,1425887337
China,147/km²,1799,0,1425887337
China,147/km²,1800,0,1425887337
China,147/km²,1801,0,1425887337
China,147/km²,1802,0,1425887337
China,147/km²,1803,0,1425887337
China,147/km²,1804,0,1425887337
China,147/km²,1805,0,1425887337
China,147/km²,1806,0,1425887337
China,147/km²,1807,0,1425887337
China,147/km²,1808,0,1425887337
China,147/km²,1809,0,1425887337
China,147/km²,1810,0,1425887337
China,147/km²,1811,0,1425887337
China,147/km²,1812,0,1425887337
China,147/km²,1813,0,1425887337
China,147/km²,1814,0,1425887337
China,147/km²,1815,0,1425887337
China,147/km²,1816,0,1425887337
China,147/km²,1817,0,1425887337
China,147/km²,1818,0,1425887337
China,147/km²,1819,0,1425887337
China,147/km²,1820,0,1425887337
China,147/km²,1821,0,1425887337
China,147/km²,1822,0,1425887337
China,147/km²,1823,0,1425887337
China,147/km²,1824,0,1425887337
China,147/km²,1825,0,1425887337
China,147/km²,1826,0,1425887337
China,147/km²,1827,0,1425887337
China,147/km²,1828,0,1425887337
China,147/km²,1829,0,1425887337
China,147/km²,1830,0,1425887337
China,147/km²,1831,0,1425887337
China,147/km²,1832,0,1425887337
China,147/km²,1833,0,1425887337
China,147/km²,1834,0,1425887337
China,147/km²,1835,0,1425887337
China,147/km²,1836,0,1425887337
China,147/km²,1837,0,1425887337
