Country,Density(km2),Year,CO2 emission (Tons),Population(2022)
Germany,233/km²,1750,0,83369843
Germany,233/km²,1751,0,83369843
Germany,233/km²,1752,0,83369843
Germany,233/km²,1753,0,83369843
Germany,233/km²,1754,0,83369843
Germany,233/km²,1755,0,83369843
Germany,233/km²,1756,0,83369843
Germany,233/km²,1757,0,83369843
Germany,233/km²,1758,0,83369843
Germany,233/km²,1759,0,83369843
Germany,233/km²,1760,0,83369843
Germany,233/km²,1761,0,83369843
Germany,233/km²,1762,0,83369843
Germany,233/km²,1763,0,83369843
Germany,233/km²,1764,0,83369843
Germany,233/km²,1765,0,83369843
Germany,233/km²,1766,0,83369843
Germany,233/km²,1767,0,83369843
Germany,233/km²,1768,0,83369843
Germany,233/km²,1769,0,83369843
Germany,233/km²,1770,0,83369843
Germany,233/km²,1771,0,83369843
Germany,233/km²,1772,0,83369843
Germany,233/km²,1773,0,83369843
Germany,233/km²,1774,0,83369843
Germany,233/km²,1775,0,83369843
Germany,233/km²,1776,0,83369843
Germany,233/km²,1777,0,83369843
Germany,233/km²,1778,0,83369843
Germany,233/km²,1779,0,83369843
Germany,233/km²,1780,0,83369843
Germany,233/km²,1781,0,83369843
Germany,233/km²,1782,0,83369843
Germany,233/km²,1783,0,83369843
Germany,233/km²,1784,0,83369843
Germany,233/km²,1785,0,83369843
Germany,233/km²,1786,0,83369843
Germany,233/km²,1787,0,83369843
Germany,233/km²,1788,0,83369843
Germany,233/km²,1789,0,83369843
Germany,233/km²,1790,0,83369843
Germany,233/km²,1791,0,83369843
Germany,233/km²,1792,468992,83369843
Germany,233/km²,1793,948976,83369843
Germany,233/km²,1794,1.39232e+06,83369843
Germany,233/km²,1795,1.83933e+06,83369843
Germany,233/km²,1796,2.37427e+06,83369843
Germany,233/km²,1797,2.92387e+06,83369843
Germany,233/km²,1798,3.49912e+06,83369843
Germany,233/km²,1799,4.12566e+06,83369843
Germany,233/km²,1800,4.92075e+06,83369843
Germany,233/km²,1801,5.4557e+06,83369843
Germany,233/km²,1802,6.00896e+06,83369843
Germany,233/km²,1803,6.5439e+06,83369843
Germany,233/km²,1804,7.5515e+06,83369843
Germany,233/km²,1805,8.59208e+06,83369843
Germany,233/km²,1806,9.53006e+06,83369843
Germany,233/km²,1807,1.22194e+07,83369843
Germany,233/km²,1808,1.31171e+07,83369843
Germany,233/km²,1809,1.40478e+07,83369843
Germany,233/km²,1810,1.50261e+07,83369843
