Country,Year,CO2 emission (Tons),% of World
Germany,1750,0,0.20%
Germany,1751,0,0.20%
Germany,1752,0,0.20%
Germany,1753,0,0.20%
Germany,1754,0,0.20%
Germany,1755,0,0.20%
Germany,1756,0,0.20%
Germany,1757,0,0.20%
Germany,1758,0,0.20%
Germany,1759,0,0.20%
Germany,1760,0,0.20%
Germany,1761,0,0.20%
Germany,1762,0,0.20%
Germany,1763,0,0.20%
Germany,1764,0,0.20%
Germany,1765,0,0.20%
Germany,1766,0,0.20%
Germany,1767,0,0.20%
Germany,1768,0,0.20%
Germany,1769,0,0.20%
Germany,1770,0,0.20%
Germany,1771,0,0.20%
Germany,1772,0,0.20%
Germany,1773,0,0.20%
Germany,1774,0,0.20%
Germany,1775,0,0.20%
Germany,1776,0,0.20%
Germany,1777,0,0.20%
Germany,1778,0,0.20%
Germany,1779,0,0.20%
Germany,1780,0,0.20%
Germany,1781,0,0.20%
Germany,1782,0,0.20%
Germany,1783,0,0.20%
Germany,1784,0,0.20%
Germany,1785,0,0.20%
Germany,1786,0,0.20%
Germany,1787,0,0.20%
Germany,1788,0,0.20%
Germany,1789,0,0.20%
Germany,1790,0,0.20%
Germany,1791,0,0.20%
Germany,1792,468992,0.20%
Germany,1793,948976,0.20%
Germany,1794,1.39232e+06,0.20%
Germany,1795,1.83933e+06,0.20%
Germany,1796,2.37427e+06,0.20%
Germany,1797,2.92387e+06,0.20%
Germany,1798,3.49912e+06,0.20%
Germany,1799,4.12566e+06,0.20%
Germany,1800,4.92075e+06,0.20%
Germany,1801,5.4557e+06,0.20%
Germany,1802,6.00896e+06,0.20%
Germany,1803,6.5439e+06,0.20%
Germany,1804,7.5515e+06,0.20%
Germany,1805,8.59208e+06,0.20%
Germany,1806,9.53006e+06,0.20%
Germany,1807,1.22194e+07,0.20%
Germany,1808,1.31171e+07,0.20%
Germany,1809,1.40478e+07,0.20%
Germany,1810,1.50261e+07,0.20%
Germany,1811,1.59531e+07,0.20%
Germany,1812,1.68654e+07,0.20%
Germany,1813,1.77557e+07,0.20%
Germany,1814,1.86388e+07,0.20%
Germany,1815,1.96684e+07,0.20%
Germany,1816,2.20536e+07,0.20%
Germany,1817,2.54355e+07,0.20%
Germany,1818,2.89676e+07,0.20%
Germany,1819,3.22432e+07,0.20%
Germany,1820,3.56251e+07,0.20%
Germany,1821,3.91572e+07,0.20%
Germany,1822,4.27882e+07,0.20%
Germany,1823,4.68223e+07,0.20%
Germany,1824,5.00539e+07,0.20%
Germany,1825,5.43921e+07,0.20%
Germany,1826,5.858e+07,0.20%
Germany,1827,6.31197e+07,0.20%
Germany,1828,6.76594e+07,0.20%
Germany,1829,7.12904e+07,0.20%
Germany,1830,7.6083e+07,0.20%
Germany,1831,8.0674e+07,0.20%
Germany,1832,8.41218e+07,0.20%
Germany,1833,8.85003e+07,0.20%
Germany,1834,9.29117e+07,0.20%
Germany,1835,9.78435e+07,0.20%
Germany,1836,1.03035e+08,0.20%
Germany,1837,1.08986e+08,0.20%
Germany,1838,1.15618e+08,0.20%
Germany,1839,1.22638e+08,0.20%
Germany,1840,1.31812e+08,0.20%
Germany,1841,1.41361e+08,0.20%
Germany,1842,1.52243e+08,0.20%
Germany,1843,1.62542e+08,0.20%
Germany,1844,1.73424e+08,0.20%
Germany,1845,1.86036e+08,0.20%
Germany,1846,1.99223e+08,0.20%
Germany,1847,2.13062e+08,0.20%
Germany,1848,2.25889e+08,0.20%
Germany,1849,2.39512e+08,0.20%
Germany,1850,2.54652e+08,0.20%
Germany,1851,2.71521e+08,0.20%
Germany,1852,2.90694e+08,0.20%
Germany,1853,3.11455e+08,0.20%
Germany,1854,3.3582e+08,0.20%
Germany,1855,3.64436e+08,0.20%
Germany,1856,3.9536e+08,0.20%
Germany,1857,4.283e+08,0.20%
Germany,1858,4.6391e+08,0.20%
Germany,1859,4.97718e+08,0.20%
Germany,1860,5.34112e+08,0.20%
Germany,1861,5.75442e+08,0.20%
Germany,1862,6.20982e+08,0.20%
Germany,1863,6.70365e+08,0.20%
Germany,1864,7.27007e+08,0.20%
Germany,1865,7.90475e+08,0.20%
Germany,1866,8.53382e+08,0.20%
Germany,1867,9.22537e+08,0.20%
Germany,1868,9.96905e+08,0.20%
Germany,1869,1.0745e+09,0.20%
Germany,1870,1.15114e+09,0.20%
Germany,1871,1.23649e+09,0.20%
Germany,1872,1.3286e+09,0.20%
Germany,1873,1.42696e+09,0.20%
Germany,1874,1.49856e+09,0.20%
Germany,1875,1.60008e+09,0.20%
Germany,1876,1.70351e+09,0.20%
Germany,1877,1.80482e+09,0.20%
Germany,1878,1.90936e+09,0.20%
Germany,1879,2.02021e+09,0.20%
Germany,1880,2.14471e+09,0.20%
Germany,1881,2.27898e+09,0.20%
Germany,1882,2.42264e+09,0.20%
