Country,Year,CO2 emission (Tons),Area
Japan,1750,0,377930
Japan,1751,0,377930
Japan,1752,0,377930
Japan,1753,0,377930
Japan,1754,0,377930
Japan,1755,0,377930
Japan,1756,0,377930
Japan,1757,0,377930
Japan,1758,0,377930
Japan,1759,0,377930
Japan,1760,0,377930
Japan,1761,0,377930
Japan,1762,0,377930
Japan,1763,0,377930
Japan,1764,0,377930
Japan,1765,0,377930
Japan,1766,0,377930
Japan,1767,0,377930
Japan,1768,0,377930
Japan,1769,0,377930
Japan,1770,0,377930
Japan,1771,0,377930
Japan,1772,0,377930
Japan,1773,0,377930
Japan,1774,0,377930
Japan,1775,0,377930
Japan,1776,0,377930
Japan,1777,0,377930
Japan,1778,0,377930
Japan,1779,0,377930
Japan,1780,0,377930
Japan,1781,0,377930
Japan,1782,0,377930
Japan,1783,0,377930
Japan,1784,0,377930
Japan,1785,0,377930
Japan,1786,0,377930
Japan,1787,0,377930
Japan,1788,0,377930
Japan,1789,0,377930
Japan,1790,0,377930
Japan,1791,0,377930
Japan,1792,0,377930
Japan,1793,0,377930
Japan,1794,0,377930
Japan,1795,0,377930
Japan,1796,0,377930
Japan,1797,0,377930
Japan,1798,0,377930
Japan,1799,0,377930
Japan,1800,0,377930
Japan,1801,0,377930
Japan,1802,0,377930
Japan,1803,0,377930
Japan,1804,0,377930
Japan,1805,0,377930
Japan,1806,0,377930
Japan,1807,0,377930
Japan,1808,0,377930
Japan,1809,0,377930
Japan,1810,0,377930
Japan,1811,0,377930
Japan,1812,0,377930
Japan,1813,0,377930
Japan,1814,0,377930
Japan,1815,0,377930
Japan,1816,0,377930
Japan,1817,0,377930
Japan,1818,0,377930
Japan,1819,0,377930
Japan,1820,0,377930
Japan,1821,0,377930
Japan,1822,0,377930
Japan,1823,0,377930
Japan,1824,0,377930
Japan,1825,0,377930
Japan,1826,0,377930
Japan,1827,0,377930
Japan,1828,0,377930
Japan,1829,0,377930
Japan,1830,0,377930
Japan,1831,0,377930
Japan,1832,0,377930
Japan,1833,0,377930
Japan,1834,0,377930
Japan,1835,0,377930
Japan,1836,0,377930
Japan,1837,0,377930
Japan,1838,0,377930
Japan,1839,0,377930
Japan,1840,0,377930
Japan,1841,0,377930
Japan,1842,0,377930
Japan,1843,0,377930
