Country,Density(km2),Year,CO2 emission (Tons),Population(2022)
Japan,328/km²,1750,0,123951692
Japan,328/km²,1751,0,123951692
Japan,328/km²,1752,0,123951692
Japan,328/km²,1753,0,123951692
Japan,328/km²,1754,0,123951692
Japan,328/km²,1755,0,123951692
Japan,328/km²,1756,0,123951692
Japan,328/km²,1757,0,123951692
Japan,328/km²,1758,0,123951692
Japan,328/km²,1759,0,123951692
Japan,328/km²,1760,0,123951692
Japan,328/km²,1761,0,123951692
Japan,328/km²,1762,0,123951692
Japan,328/km²,1763,0,123951692
Japan,328/km²,1764,0,123951692
Japan,328/km²,1765,0,123951692
Japan,328/km²,1766,0,123951692
Japan,328/km²,1767,0,123951692
Japan,328/km²,1768,0,123951692
Japan,328/km²,1769,0,123951692
Japan,328/km²,1770,0,123951692
Japan,328/km²,1771,0,123951692
Japan,328/km²,1772,0,123951692
Japan,328/km²,1773,0,123951692
Japan,328/km²,1774,0,123951692
Japan,328/km²,1775,0,123951692
Japan,328/km²,1776,0,123951692
Japan,328/km²,1777,0,123951692
Japan,328/km²,1778,0,123951692
Japan,328/km²,1779,0,123951692
Japan,328/km²,1780,0,123951692
Japan,328/km²,1781,0,123951692
Japan,328/km²,1782,0,123951692
Japan,328/km²,1783,0,123951692
Japan,328/km²,1784,0,123951692
Japan,328/km²,1785,0,123951692
Japan,328/km²,1786,0,123951692
Japan,328/km²,1787,0,123951692
Japan,328/km²,1788,0,123951692
Japan,328/km²,1789,0,123951692
Japan,328/km²,1790,0,123951692
Japan,328/km²,1791,0,123951692
Japan,328/km²,1792,0,123951692
Japan,328/km²,1793,0,123951692
Japan,328/km²,1794,0,123951692
Japan,328/km²,1795,0,123951692
Japan,328/km²,1796,0,123951692
Japan,328/km²,1797,0,123951692
Japan,328/km²,1798,0,123951692
Japan,328/km²,1799,0,123951692
Japan,328/km²,1800,0,123951692
Japan,328/km²,1801,0,123951692
Japan,328/km²,1802,0,123951692
Japan,328/km²,1803,0,123951692
Japan,328/km²,1804,0,123951692
Japan,328/km²,1805,0,123951692
Japan,328/km²,1806,0,123951692
Japan,328/km²,1807,0,123951692
Japan,328/km²,1808,0,123951692
Japan,328/km²,1809,0,123951692
Japan,328/km²,1810,0,123951692
Japan,328/km²,1811,0,123951692
Japan,328/km²,1812,0,123951692
Japan,328/km²,1813,0,123951692
Japan,328/km²,1814,0,123951692
Japan,328/km²,1815,0,123951692
Japan,328/km²,1816,0,123951692
Japan,328/km²,1817,0,123951692
Japan,328/km²,1818,0,123951692
Japan,328/km²,1819,0,123951692
Japan,328/km²,1820,0,123951692
Japan,328/km²,1821,0,123951692
Japan,328/km²,1822,0,123951692
Japan,328/km²,1823,0,123951692
Japan,328/km²,1824,0,123951692
Japan,328/km²,1825,0,123951692
Japan,328/km²,1826,0,123951692
Japan,328/km²,1827,0,123951692
Japan,328/km²,1828,0,123951692
Japan,328/km²,1829,0,123951692
Japan,328/km²,1830,0,123951692
Japan,328/km²,1831,0,123951692
Japan,328/km²,1832,0,123951692
Japan,328/km²,1833,0,123951692
Japan,328/km²,1834,0,123951692
Japan,328/km²,1835,0,123951692
Japan,328/km²,1836,0,123951692
Japan,328/km²,1837,0,123951692
Japan,328/km²,1838,0,123951692
Japan,328/km²,1839,0,123951692
Japan,328/km²,1840,0,123951692
Japan,328/km²,1841,0,123951692
Japan,328/km²,1842,0,123951692
Japan,328/km²,1843,0,123951692
Japan,328/km²,1844,0,123951692
Japan,328/km²,1845,0,123951692
Japan,328/km²,1846,0,123951692
Japan,328/km²,1847,0,123951692
Japan,328/km²,1848,0,123951692
Japan,328/km²,1849,0,123951692
Japan,328/km²,1850,0,123951692
Japan,328/km²,1851,0,123951692
Japan,328/km²,1852,0,123951692
Japan,328/km²,1853,0,123951692
Japan,328/km²,1854,0,123951692
Japan,328/km²,1855,0,123951692
Japan,328/km²,1856,0,123951692
Japan,328/km²,1857,0,123951692
Japan,328/km²,1858,0,123951692
Japan,328/km²,1859,0,123951692
Japan,328/km²,1860,0,123951692
Japan,328/km²,1861,0,123951692
Japan,328/km²,1862,0,123951692
Japan,328/km²,1863,0,123951692
Japan,328/km²,1864,0,123951692
Japan,328/km²,1865,0,123951692
Japan,328/km²,1866,0,123951692
Japan,328/km²,1867,0,123951692
Japan,328/km²,1868,10992,123951692
Japan,328/km²,1869,29312,123951692
Japan,328/km²,1870,47632,123951692
Japan,328/km²,1871,73280,123951692
Japan,328/km²,1872,106256,123951692
Japan,328/km²,1873,146560,123951692
Japan,328/km²,1874,732800,123951692
Japan,328/km²,1875,2.17275e+06,123951692
Japan,328/km²,1876,3.57606e+06,123951692
Japan,328/km²,1877,4.86579e+06,123951692
Japan,328/km²,1878,6.72344e+06,123951692
Japan,328/km²,1879,9.03909e+06,123951692
Japan,328/km²,1880,1.13877e+07,123951692
Japan,328/km²,1881,1.38023e+07,123951692
Japan,328/km²,1882,1.63158e+07,123951692
Japan,328/km²,1883,1.90272e+07,123951692
Japan,328/km²,1884,2.1984e+07,123951692
Japan,328/km²,1885,2.53329e+07,123951692
Japan,328/km²,1886,2.89383e+07,123951692
Japan,328/km²,1887,3.3412e+07,123951692
Japan,328/km²,1888,3.85819e+07,123951692
Japan,328/km²,1889,4.48364e+07,123951692
Japan,328/km²,1890,5.15928e+07,123951692
Japan,328/km²,1891,5.97159e+07,123951692
Japan,328/km²,1892,6.77913e+07,123951692
Japan,328/km²,1893,7.63651e+07,123951692
Japan,328/km²,1894,8.73901e+07,123951692
Japan,328/km²,1895,9.96168e+07,123951692
Japan,328/km²,1896,1.12532e+08,123951692
Japan,328/km²,1897,1.26075e+08,123951692
Japan,328/km²,1898,1.43321e+08,123951692
Japan,328/km²,1899,1.60593e+08,123951692
Japan,328/km²,1900,1.80005e+08,123951692
Japan,328/km²,1901,2.03279e+08,123951692
Japan,328/km²,1902,2.28223e+08,123951692
Japan,328/km²,1903,2.5401e+08,123951692
Japan,328/km²,1904,2.83062e+08,123951692
Japan,328/km²,1905,3.12994e+08,123951692
Japan,328/km²,1906,3.45849e+08,123951692
Japan,328/km²,1907,3.8092e+08,123951692
Japan,328/km²,1908,4.18553e+08,123951692
Japan,328/km²,1909,4.56809e+08,123951692
Japan,328/km²,1910,4.96194e+08,123951692
Japan,328/km²,1911,5.40403e+08,123951692
Japan,328/km²,1912,5.89684e+08,123951692
Japan,328/km²,1913,6.43999e+08,123951692
Japan,328/km²,1914,7.02015e+08,123951692
Japan,328/km²,1915,7.54857e+08,123951692
Japan,328/km²,1916,8.13456e+08,123951692
Japan,328/km²,1917,8.80939e+08,123951692
Japan,328/km²,1918,9.52482e+08,123951692
Japan,328/km²,1919,1.03168e+09,123951692
Japan,328/km²,1920,1.10596e+09,123951692
Japan,328/km²,1921,1.17277e+09,123951692
Japan,328/km²,1922,1.2442e+09,123951692
Japan,328/km²,1923,1.3201e+09,123951692
Japan,328/km²,1924,1.39945e+09,123951692
Japan,328/km²,1925,1.48146e+09,123951692
Japan,328/km²,1926,1.56407e+09,123951692
Japan,328/km²,1927,1.65355e+09,123951692
