Country,Density(km2),Year,CO2 emission (Tons),Population(2022)
Taiwan,660/km²,1750,0,23893394
Taiwan,660/km²,1751,0,23893394
Taiwan,660/km²,1752,0,23893394
Taiwan,660/km²,1753,0,23893394
Taiwan,660/km²,1754,0,23893394
Taiwan,660/km²,1755,0,23893394
Taiwan,660/km²,1756,0,23893394
Taiwan,660/km²,1757,0,23893394
Taiwan,660/km²,1758,0,23893394
Taiwan,660/km²,1759,0,23893394
Taiwan,660/km²,1760,0,23893394
Taiwan,660/km²,1761,0,23893394
Taiwan,660/km²,1762,0,23893394
Taiwan,660/km²,1763,0,23893394
Taiwan,660/km²,1764,0,23893394
Taiwan,660/km²,1765,0,23893394
Taiwan,660/km²,1766,0,23893394
Taiwan,660/km²,1767,0,23893394
Taiwan,660/km²,1768,0,23893394
Taiwan,660/km²,1769,0,23893394
Taiwan,660/km²,1770,0,23893394
Taiwan,660/km²,1771,0,23893394
Taiwan,660/km²,1772,0,23893394
Taiwan,660/km²,1773,0,23893394
Taiwan,660/km²,1774,0,23893394
Taiwan,660/km²,1775,0,23893394
Taiwan,660/km²,1776,0,23893394
Taiwan,660/km²,1777,0,23893394
Taiwan,660/km²,1778,0,23893394
Taiwan,660/km²,1779,0,23893394
Taiwan,660/km²,1780,0,23893394
Taiwan,660/km²,1781,0,23893394
Taiwan,660/km²,1782,0,23893394
Taiwan,660/km²,1783,0,23893394
Taiwan,660/km²,1784,0,23893394
Taiwan,660/km²,1785,0,23893394
Taiwan,660/km²,1786,0,23893394
Taiwan,660/km²,1787,0,23893394
Taiwan,660/km²,1788,0,23893394
Taiwan,660/km²,1789,0,23893394
Taiwan,660/km²,1790,0,23893394
Taiwan,660/km²,1791,0,23893394
Taiwan,660/km²,1792,0,23893394
Taiwan,660/km²,1793,0,23893394
Taiwan,660/km²,1794,0,23893394
Taiwan,660/km²,1795,0,23893394
Taiwan,660/km²,1796,0,23893394
Taiwan,660/km²,1797,0,23893394
Taiwan,660/km²,1798,0,23893394
Taiwan,660/km²,1799,0,23893394
Taiwan,660/km²,1800,0,23893394
Taiwan,660/km²,1801,0,23893394
Taiwan,660/km²,1802,0,23893394
Taiwan,660/km²,1803,0,23893394
Taiwan,660/km²,1804,0,23893394
Taiwan,660/km²,1805,0,23893394
Taiwan,660/km²,1806,0,23893394
Taiwan,660/km²,1807,0,23893394
Taiwan,660/km²,1808,0,23893394
Taiwan,660/km²,1809,0,23893394
Taiwan,660/km²,1810,0,23893394
Taiwan,660/km²,1811,0,23893394
Taiwan,660/km²,1812,0,23893394
Taiwan,660/km²,1813,0,23893394
Taiwan,660/km²,1814,0,23893394
Taiwan,660/km²,1815,0,23893394
Taiwan,660/km²,1816,0,23893394
Taiwan,660/km²,1817,0,23893394
Taiwan,660/km²,1818,0,23893394
Taiwan,660/km²,1819,0,23893394
Taiwan,660/km²,1820,0,23893394
Taiwan,660/km²,1821,0,23893394
Taiwan,660/km²,1822,0,23893394
Taiwan,660/km²,1823,0,23893394
Taiwan,660/km²,1824,0,23893394
Taiwan,660/km²,1825,0,23893394
Taiwan,660/km²,1826,0,23893394
Taiwan,660/km²,1827,0,23893394
Taiwan,660/km²,1828,0,23893394
Taiwan,660/km²,1829,0,23893394
Taiwan,660/km²,1830,0,23893394
Taiwan,660/km²,1831,0,23893394
Taiwan,660/km²,1832,0,23893394
Taiwan,660/km²,1833,0,23893394
Taiwan,660/km²,1834,0,23893394
Taiwan,660/km²,1835,0,23893394
Taiwan,660/km²,1836,0,23893394
Taiwan,660/km²,1837,0,23893394
Taiwan,660/km²,1838,0,23893394
Taiwan,660/km²,1839,0,23893394
Taiwan,660/km²,1840,0,23893394
Taiwan,660/km²,1841,0,23893394
Taiwan,660/km²,1842,0,23893394
Taiwan,660/km²,1843,0,23893394
Taiwan,660/km²,1844,0,23893394
Taiwan,660/km²,1845,0,23893394
Taiwan,660/km²,1846,0,23893394
Taiwan,660/km²,1847,0,23893394
Taiwan,660/km²,1848,0,23893394
Taiwan,660/km²,1849,0,23893394
Taiwan,660/km²,1850,0,23893394
Taiwan,660/km²,1851,0,23893394
Taiwan,660/km²,1852,0,23893394
Taiwan,660/km²,1853,0,23893394
Taiwan,660/km²,1854,0,23893394
Taiwan,660/km²,1855,0,23893394
Taiwan,660/km²,1856,0,23893394
Taiwan,660/km²,1857,0,23893394
Taiwan,660/km²,1858,0,23893394
Taiwan,660/km²,1859,0,23893394
Taiwan,660/km²,1860,0,23893394
Taiwan,660/km²,1861,0,23893394
Taiwan,660/km²,1862,0,23893394
Taiwan,660/km²,1863,0,23893394
Taiwan,660/km²,1864,0,23893394
Taiwan,660/km²,1865,0,23893394
Taiwan,660/km²,1866,0,23893394
Taiwan,660/km²,1867,0,23893394
Taiwan,660/km²,1868,0,23893394
Taiwan,660/km²,1869,0,23893394
Taiwan,660/km²,1870,0,23893394
Taiwan,660/km²,1871,0,23893394
Taiwan,660/km²,1872,0,23893394
Taiwan,660/km²,1873,0,23893394
Taiwan,660/km²,1874,0,23893394
Taiwan,660/km²,1875,0,23893394
Taiwan,660/km²,1876,0,23893394
Taiwan,660/km²,1877,0,23893394
Taiwan,660/km²,1878,0,23893394
Taiwan,660/km²,1879,0,23893394
Taiwan,660/km²,1880,0,23893394
Taiwan,660/km²,1881,0,23893394
Taiwan,660/km²,1882,0,23893394
Taiwan,660/km²,1883,0,23893394
Taiwan,660/km²,1884,0,23893394
Taiwan,660/km²,1885,0,23893394
Taiwan,660/km²,1886,0,23893394
Taiwan,660/km²,1887,0,23893394
Taiwan,660/km²,1888,0,23893394
Taiwan,660/km²,1889,0,23893394
Taiwan,660/km²,1890,0,23893394
Taiwan,660/km²,1891,0,23893394
Taiwan,660/km²,1892,0,23893394
Taiwan,660/km²,1893,0,23893394
Taiwan,660/km²,1894,0,23893394
Taiwan,660/km²,1895,0,23893394
Taiwan,660/km²,1896,3664,23893394
Taiwan,660/km²,1897,54960,23893394
Taiwan,660/km²,1898,168544,23893394
Taiwan,660/km²,1899,249152,23893394
Taiwan,660/km²,1900,359072,23893394
Taiwan,660/km²,1901,534944,23893394
Taiwan,660/km²,1902,791424,23893394
Taiwan,660/km²,1903,1.0076e+06,23893394
Taiwan,660/km²,1904,1.22744e+06,23893394
Taiwan,660/km²,1905,1.48026e+06,23893394
Taiwan,660/km²,1906,1.75506e+06,23893394
Taiwan,660/km²,1907,2.11413e+06,23893394
Taiwan,660/km²,1908,2.5245e+06,23893394
Taiwan,660/km²,1909,3.01181e+06,23893394
Taiwan,660/km²,1910,3.62736e+06,23893394
Taiwan,660/km²,1911,4.3052e+06,23893394
Taiwan,660/km²,1912,5.04533e+06,23893394
Taiwan,660/km²,1913,5.89904e+06,23893394
Taiwan,660/km²,1914,6.8187e+06,23893394
Taiwan,660/km²,1915,7.83363e+06,23893394
Taiwan,660/km²,1916,9.21862e+06,23893394
Taiwan,660/km²,1917,1.10176e+07,23893394
Taiwan,660/km²,1918,1.31611e+07,23893394
Taiwan,660/km²,1919,1.60703e+07,23893394
Taiwan,660/km²,1920,1.91151e+07,23893394
Taiwan,660/km²,1921,2.18704e+07,23893394
Taiwan,660/km²,1922,2.54428e+07,23893394
Taiwan,660/km²,1923,2.92754e+07,23893394
Taiwan,660/km²,1924,3.32691e+07,23893394
Taiwan,660/km²,1925,3.77575e+07,23893394
Taiwan,660/km²,1926,4.25097e+07,23893394
Taiwan,660/km²,1927,4.74378e+07,23893394
Taiwan,660/km²,1928,5.16404e+07,23893394
Taiwan,660/km²,1929,5.5832e+07,23893394
Taiwan,660/km²,1930,6.00749e+07,23893394
Taiwan,660/km²,1931,6.38489e+07,23893394
Taiwan,660/km²,1932,6.74432e+07,23893394
