Country,Year,CO2 emission (Tons),% of World
Taiwan,1750,0,0.00%
Taiwan,1751,0,0.00%
Taiwan,1752,0,0.00%
Taiwan,1753,0,0.00%
Taiwan,1754,0,0.00%
Taiwan,1755,0,0.00%
Taiwan,1756,0,0.00%
Taiwan,1757,0,0.00%
Taiwan,1758,0,0.00%
Taiwan,1759,0,0.00%
Taiwan,1760,0,0.00%
Taiwan,1761,0,0.00%
Taiwan,1762,0,0.00%
Taiwan,1763,0,0.00%
Taiwan,1764,0,0.00%
Taiwan,1765,0,0.00%
Taiwan,1766,0,0.00%
Taiwan,1767,0,0.00%
Taiwan,1768,0,0.00%
Taiwan,1769,0,0.00%
Taiwan,1770,0,0.00%
Taiwan,1771,0,0.00%
Taiwan,1772,0,0.00%
Taiwan,1773,0,0.00%
Taiwan,1774,0,0.00%
Taiwan,1775,0,0.00%
Taiwan,1776,0,0.00%
Taiwan,1777,0,0.00%
Taiwan,1778,0,0.00%
Taiwan,1779,0,0.00%
Taiwan,1780,0,0.00%
Taiwan,1781,0,0.00%
Taiwan,1782,0,0.00%
Taiwan,1783,0,0.00%
Taiwan,1784,0,0.00%
Taiwan,1785,0,0.00%
Taiwan,1786,0,0.00%
Taiwan,1787,0,0.00%
Taiwan,1788,0,0.00%
Taiwan,1789,0,0.00%
Taiwan,1790,0,0.00%
Taiwan,1791,0,0.00%
Taiwan,1792,0,0.00%
Taiwan,1793,0,0.00%
Taiwan,1794,0,0.00%
Taiwan,1795,0,0.00%
Taiwan,1796,0,0.00%
Taiwan,1797,0,0.00%
Taiwan,1798,0,0.00%
Taiwan,1799,0,0.00%
Taiwan,1800,0,0.00%
Taiwan,1801,0,0.00%
Taiwan,1802,0,0.00%
Taiwan,1803,0,0.00%
Taiwan,1804,0,0.00%
Taiwan,1805,0,0.00%
Taiwan,1806,0,0.00%
Taiwan,1807,0,0.00%
Taiwan,1808,0,0.00%
Taiwan,1809,0,0.00%
Taiwan,1810,0,0.00%
Taiwan,1811,0,0.00%
Taiwan,1812,0,0.00%
Taiwan,1813,0,0.00%
Taiwan,1814,0,0.00%
Taiwan,1815,0,0.00%
Taiwan,1816,0,0.00%
Taiwan,1817,0,0.00%
Taiwan,1818,0,0.00%
Taiwan,1819,0,0.00%
Taiwan,1820,0,0.00%
Taiwan,1821,0,0.00%
Taiwan,1822,0,0.00%
Taiwan,1823,0,0.00%
Taiwan,1824,0,0.00%
Taiwan,1825,0,0.00%
Taiwan,1826,0,0.00%
Taiwan,1827,0,0.00%
Taiwan,1828,0,0.00%
Taiwan,1829,0,0.00%
Taiwan,1830,0,0.00%
Taiwan,1831,0,0.00%
Taiwan,1832,0,0.00%
Taiwan,1833,0,0.00%
Taiwan,1834,0,0.00%
Taiwan,1835,0,0.00%
Taiwan,1836,0,0.00%
Taiwan,1837,0,0.00%
Taiwan,1838,0,0.00%
Taiwan,1839,0,0.00%
Taiwan,1840,0,0.00%
Taiwan,1841,0,0.00%
Taiwan,1842,0,0.00%
Taiwan,1843,0,0.00%
Taiwan,1844,0,0.00%
Taiwan,1845,0,0.00%
Taiwan,1846,0,0.00%
Taiwan,1847,0,0.00%
Taiwan,1848,0,0.00%
Taiwan,1849,0,0.00%
Taiwan,1850,0,0.00%
Taiwan,1851,0,0.00%
Taiwan,1852,0,0.00%
Taiwan,1853,0,0.00%
Taiwan,1854,0,0.00%
Taiwan,1855,0,0.00%
Taiwan,1856,0,0.00%
Taiwan,1857,0,0.00%
Taiwan,1858,0,0.00%
Taiwan,1859,0,0.00%
Taiwan,1860,0,0.00%
Taiwan,1861,0,0.00%
Taiwan,1862,0,0.00%
Taiwan,1863,0,0.00%
Taiwan,1864,0,0.00%
Taiwan,1865,0,0.00%
Taiwan,1866,0,0.00%
Taiwan,1867,0,0.00%
Taiwan,1868,0,0.00%
Taiwan,1869,0,0.00%
Taiwan,1870,0,0.00%
Taiwan,1871,0,0.00%
Taiwan,1872,0,0.00%
Taiwan,1873,0,0.00%
Taiwan,1874,0,0.00%
Taiwan,1875,0,0.00%
Taiwan,1876,0,0.00%
Taiwan,1877,0,0.00%
Taiwan,1878,0,0.00%
Taiwan,1879,0,0.00%
Taiwan,1880,0,0.00%
Taiwan,1881,0,0.00%
Taiwan,1882,0,0.00%
Taiwan,1883,0,0.00%
Taiwan,1884,0,0.00%
Taiwan,1885,0,0.00%
Taiwan,1886,0,0.00%
Taiwan,1887,0,0.00%
Taiwan,1888,0,0.00%
Taiwan,1889,0,0.00%
Taiwan,1890,0,0.00%
Taiwan,1891,0,0.00%
Taiwan,1892,0,0.00%
Taiwan,1893,0,0.00%
Taiwan,1894,0,0.00%
Taiwan,1895,0,0.00%
Taiwan,1896,3664,0.00%
Taiwan,1897,54960,0.00%
Taiwan,1898,168544,0.00%
Taiwan,1899,249152,0.00%
Taiwan,1900,359072,0.00%
Taiwan,1901,534944,0.00%
Taiwan,1902,791424,0.00%
Taiwan,1903,1.0076e+06,0.00%
Taiwan,1904,1.22744e+06,0.00%
Taiwan,1905,1.48026e+06,0.00%
Taiwan,1906,1.75506e+06,0.00%
Taiwan,1907,2.11413e+06,0.00%
Taiwan,1908,2.5245e+06,0.00%
Taiwan,1909,3.01181e+06,0.00%
Taiwan,1910,3.62736e+06,0.00%
Taiwan,1911,4.3052e+06,0.00%
Taiwan,1912,5.04533e+06,0.00%
Taiwan,1913,5.89904e+06,0.00%
Taiwan,1914,6.8187e+06,0.00%
Taiwan,1915,7.83363e+06,0.00%
Taiwan,1916,9.21862e+06,0.00%
Taiwan,1917,1.10176e+07,0.00%
Taiwan,1918,1.31611e+07,0.00%
Taiwan,1919,1.60703e+07,0.00%
Taiwan,1920,1.91151e+07,0.00%
Taiwan,1921,2.18704e+07,0.00%
Taiwan,1922,2.54428e+07,0.00%
Taiwan,1923,2.92754e+07,0.00%
Taiwan,1924,3.32691e+07,0.00%
Taiwan,1925,3.77575e+07,0.00%
Taiwan,1926,4.25097e+07,0.00%
Taiwan,1927,4.74378e+07,0.00%
Taiwan,1928,5.16404e+07,0.00%
Taiwan,1929,5.5832e+07,0.00%
Taiwan,1930,6.00749e+07,0.00%
Taiwan,1931,6.38489e+07,0.00%
Taiwan,1932,6.74432e+07,0.00%
Taiwan,1933,7.16385e+07,0.00%
Taiwan,1934,7.58118e+07,0.00%
Taiwan,1935,8.01756e+07,0.00%
Taiwan,1936,8.49095e+07,0.00%
Taiwan,1937,9.016e+07,0.00%
Taiwan,1938,9.60591e+07,0.00%
Taiwan,1939,1.03241e+08,0.00%
Taiwan,1940,1.11008e+08,0.00%
Taiwan,1941,1.18944e+08,0.00%
Taiwan,1942,1.25362e+08,0.00%
Taiwan,1943,1.31787e+08,0.00%
Taiwan,1944,1.36418e+08,0.00%
Taiwan,1945,1.38605e+08,0.00%
Taiwan,1946,1.41467e+08,0.00%
Taiwan,1947,1.45086e+08,0.00%
Taiwan,1948,1.49625e+08,0.00%
Taiwan,1949,1.54097e+08,0.00%
Taiwan,1950,1.57881e+08,0.00%
Taiwan,1951,1.62789e+08,0.00%
Taiwan,1952,1.69181e+08,0.00%
Taiwan,1953,1.75653e+08,0.00%
Taiwan,1954,1.8214e+08,0.00%
Taiwan,1955,1.89337e+08,0.00%
Taiwan,1956,1.97022e+08,0.00%
Taiwan,1957,2.05205e+08,0.00%
Taiwan,1958,2.14775e+08,0.00%
Taiwan,1959,2.25766e+08,0.00%
Taiwan,1960,2.3764e+08,0.00%
Taiwan,1961,2.50168e+08,0.00%
Taiwan,1962,2.64333e+08,0.00%
Taiwan,1963,2.79442e+08,0.00%
Taiwan,1964,2.96349e+08,0.00%
Taiwan,1965,3.14194e+08,0.00%
Taiwan,1966,3.33655e+08,0.00%
Taiwan,1967,3.55625e+08,0.00%
Taiwan,1968,3.79766e+08,0.00%
Taiwan,1969,4.06057e+08,0.00%
Taiwan,1970,4.34791e+08,0.00%
Taiwan,1971,4.66266e+08,0.00%
Taiwan,1972,5.02137e+08,0.00%
Taiwan,1973,5.4238e+08,0.00%
Taiwan,1974,5.81689e+08,0.00%
Taiwan,1975,6.25141e+08,0.00%
Taiwan,1976,6.81238e+08,0.00%
Taiwan,1977,7.42364e+08,0.00%
Taiwan,1978,8.13387e+08,0.00%
Taiwan,1979,8.89146e+08,0.00%
Taiwan,1980,9.72653e+08,0.00%
Taiwan,1981,1.0477e+09,0.00%
Taiwan,1982,1.12307e+09,0.00%
Taiwan,1983,1.2062e+09,0.00%
Taiwan,1984,1.29105e+09,0.00%
Taiwan,1985,1.37578e+09,0.00%
Taiwan,1986,1.4701e+09,0.00%
Taiwan,1987,1.56827e+09,0.00%
Taiwan,1988,1.68134e+09,0.00%
Taiwan,1989,1.80445e+09,0.00%
Taiwan,1990,1.92852e+09,0.00%
Taiwan,1991,2.0621e+09,0.00%
Taiwan,1992,2.20427e+09,0.00%
Taiwan,1993,2.35807e+09,0.00%
Taiwan,1994,2.51923e+09,0.00%
Taiwan,1995,2.6881e+09,0.00%
Taiwan,1996,2.86488e+09,0.00%
Taiwan,1997,3.05542e+09,0.00%
Taiwan,1998,3.25558e+09,0.00%
Taiwan,1999,3.46338e+09,0.00%
Taiwan,2000,3.69036e+09,0.00%
Taiwan,2001,3.92028e+09,0.00%
Taiwan,2002,4.15793e+09,0.00%
Taiwan,2003,4.40633e+09,0.00%
Taiwan,2004,4.66422e+09,0.00%
Taiwan,2005,4.93068e+09,0.00%
Taiwan,2006,5.20684e+09,0.00%
Taiwan,2007,5.48664e+09,0.00%
Taiwan,2008,5.75323e+09,0.00%
Taiwan,2009,6.00574e+09,0.00%
Taiwan,2010,6.27588e+09,0.00%
Taiwan,2011,6.55217e+09,0.00%
Taiwan,2012,6.82492e+09,0.00%
Taiwan,2013,7.09872e+09,0.00%
Taiwan,2014,7.37503e+09,0.00%
Taiwan,2015,7.65087e+09,0.00%
Taiwan,2016,7.93057e+09,0.00%
Taiwan,2017,8.21538e+09,0.00%
Taiwan,2018,8.49823e+09,0.00%
Taiwan,2019,8.77356e+09,0.00%
Taiwan,2020,9.04674e+09,0.00%
