Country,Density(km2),Year,CO2 emission (Tons),Population(2022)
United Kingdom,278/km²,1750,9.35053e+06,67508936
United Kingdom,278/km²,1751,1.87011e+07,67508936
United Kingdom,278/km²,1752,2.80552e+07,67508936
United Kingdom,278/km²,1753,3.74094e+07,67508936
United Kingdom,278/km²,1754,4.67673e+07,67508936
United Kingdom,278/km²,1755,5.61288e+07,67508936
United Kingdom,278/km²,1756,6.61352e+07,67508936
United Kingdom,278/km²,1757,7.61452e+07,67508936
United Kingdom,278/km²,1758,8.6159e+07,67508936
United Kingdom,278/km²,1759,9.61763e+07,67508936
United Kingdom,278/km²,1760,1.06194e+08,67508936
United Kingdom,278/km²,1761,1.17167e+08,67508936
United Kingdom,278/km²,1762,1.28145e+08,67508936
United Kingdom,278/km²,1763,1.39126e+08,67508936
United Kingdom,278/km²,1764,1.5011e+08,67508936
United Kingdom,278/km²,1765,1.61099e+08,67508936
United Kingdom,278/km²,1766,1.73358e+08,67508936
United Kingdom,278/km²,1767,1.85622e+08,67508936
United Kingdom,278/km²,1768,1.97889e+08,67508936
United Kingdom,278/km²,1769,2.1016e+08,67508936
United Kingdom,278/km²,1770,2.22434e+08,67508936
United Kingdom,278/km²,1771,2.36046e+08,67508936
United Kingdom,278/km²,1772,2.49661e+08,67508936
United Kingdom,278/km²,1773,2.6328e+08,67508936
United Kingdom,278/km²,1774,2.76903e+08,67508936
United Kingdom,278/km²,1775,2.9053e+08,67508936
United Kingdom,278/km²,1776,3.05567e+08,67508936
United Kingdom,278/km²,1777,3.20607e+08,67508936
United Kingdom,278/km²,1778,3.35652e+08,67508936
United Kingdom,278/km²,1779,3.507e+08,67508936
United Kingdom,278/km²,1780,3.65755e+08,67508936
United Kingdom,278/km²,1781,3.82599e+08,67508936
United Kingdom,278/km²,1782,3.99446e+08,67508936
United Kingdom,278/km²,1783,4.163e+08,67508936
United Kingdom,278/km²,1784,4.33158e+08,67508936
United Kingdom,278/km²,1785,4.50023e+08,67508936
United Kingdom,278/km²,1786,4.69172e+08,67508936
United Kingdom,278/km²,1787,4.88327e+08,67508936
United Kingdom,278/km²,1788,5.07486e+08,67508936
United Kingdom,278/km²,1789,5.26652e+08,67508936
United Kingdom,278/km²,1790,5.45826e+08,67508936
United Kingdom,278/km²,1791,5.67242e+08,67508936
United Kingdom,278/km²,1792,5.88666e+08,67508936
United Kingdom,278/km²,1793,6.10096e+08,67508936
United Kingdom,278/km²,1794,6.31531e+08,67508936
United Kingdom,278/km²,1795,6.52972e+08,67508936
United Kingdom,278/km²,1796,6.75385e+08,67508936
