Country,Density(km2),Year,CO2 emission (Tons),Population(2022)
South Korea,517/km²,1750,0,51815810
South Korea,517/km²,1751,0,51815810
South Korea,517/km²,1752,0,51815810
South Korea,517/km²,1753,0,51815810
South Korea,517/km²,1754,0,51815810
South Korea,517/km²,1755,0,51815810
South Korea,517/km²,1756,0,51815810
South Korea,517/km²,1757,0,51815810
South Korea,517/km²,1758,0,51815810
South Korea,517/km²,1759,0,51815810
South Korea,517/km²,1760,0,51815810
South Korea,517/km²,1761,0,51815810
South Korea,517/km²,1762,0,51815810
South Korea,517/km²,1763,0,51815810
South Korea,517/km²,1764,0,51815810
South Korea,517/km²,1765,0,51815810
South Korea,517/km²,1766,0,51815810
South Korea,517/km²,1767,0,51815810
South Korea,517/km²,1768,0,51815810
South Korea,517/km²,1769,0,51815810
South Korea,517/km²,1770,0,51815810
South Korea,517/km²,1771,0,51815810
South Korea,517/km²,1772,0,51815810
South Korea,517/km²,1773,0,51815810
South Korea,517/km²,1774,0,51815810
South Korea,517/km²,1775,0,51815810
South Korea,517/km²,1776,0,51815810
South Korea,517/km²,1777,0,51815810
South Korea,517/km²,1778,0,51815810
South Korea,517/km²,1779,0,51815810
South Korea,517/km²,1780,0,51815810
South Korea,517/km²,1781,0,51815810
South Korea,517/km²,1782,0,51815810
South Korea,517/km²,1783,0,51815810
South Korea,517/km²,1784,0,51815810
South Korea,517/km²,1785,0,51815810
South Korea,517/km²,1786,0,51815810
South Korea,517/km²,1787,0,51815810
South Korea,517/km²,1788,0,51815810
South Korea,517/km²,1789,0,51815810
South Korea,517/km²,1790,0,51815810
South Korea,517/km²,1791,0,51815810
South Korea,517/km²,1792,0,51815810
South Korea,517/km²,1793,0,51815810
South Korea,517/km²,1794,0,51815810
South Korea,517/km²,1795,0,51815810
South Korea,517/km²,1796,0,51815810
South Korea,517/km²,1797,0,51815810
South Korea,517/km²,1798,0,51815810
South Korea,517/km²,1799,0,51815810
South Korea,517/km²,1800,0,51815810
South Korea,517/km²,1801,0,51815810
South Korea,517/km²,1802,0,51815810
South Korea,517/km²,1803,0,51815810
South Korea,517/km²,1804,0,51815810
South Korea,517/km²,1805,0,51815810
South Korea,517/km²,1806,0,51815810
South Korea,517/km²,1807,0,51815810
South Korea,517/km²,1808,0,51815810
South Korea,517/km²,1809,0,51815810
South Korea,517/km²,1810,0,51815810
South Korea,517/km²,1811,0,51815810
South Korea,517/km²,1812,0,51815810
South Korea,517/km²,1813,0,51815810
South Korea,517/km²,1814,0,51815810
South Korea,517/km²,1815,0,51815810
South Korea,517/km²,1816,0,51815810
South Korea,517/km²,1817,0,51815810
South Korea,517/km²,1818,0,51815810
South Korea,517/km²,1819,0,51815810
South Korea,517/km²,1820,0,51815810
South Korea,517/km²,1821,0,51815810
South Korea,517/km²,1822,0,51815810
South Korea,517/km²,1823,0,51815810
South Korea,517/km²,1824,0,51815810
South Korea,517/km²,1825,0,51815810
South Korea,517/km²,1826,0,51815810
South Korea,517/km²,1827,0,51815810
South Korea,517/km²,1828,0,51815810
South Korea,517/km²,1829,0,51815810
South Korea,517/km²,1830,0,51815810
South Korea,517/km²,1831,0,51815810
South Korea,517/km²,1832,0,51815810
South Korea,517/km²,1833,0,51815810
South Korea,517/km²,1834,0,51815810
South Korea,517/km²,1835,0,51815810
South Korea,517/km²,1836,0,51815810
South Korea,517/km²,1837,0,51815810
South Korea,517/km²,1838,0,51815810
South Korea,517/km²,1839,0,51815810
