Country,Year,CO2 emission (Tons)
South Korea,1750,0
South Korea,1751,0
South Korea,1752,0
South Korea,1753,0
South Korea,1754,0
South Korea,1755,0
South Korea,1756,0
South Korea,1757,0
South Korea,1758,0
South Korea,1759,0
South Korea,1760,0
South Korea,1761,0
South Korea,1762,0
South Korea,1763,0
South Korea,1764,0
South Korea,1765,0
South Korea,1766,0
South Korea,1767,0
South Korea,1768,0
South Korea,1769,0
South Korea,1770,0
South Korea,1771,0
South Korea,1772,0
South Korea,1773,0
South Korea,1774,0
South Korea,1775,0
South Korea,1776,0
South Korea,1777,0
South Korea,1778,0
South Korea,1779,0
South Korea,1780,0
South Korea,1781,0
South Korea,1782,0
South Korea,1783,0
South Korea,1784,0
South Korea,1785,0
South Korea,1786,0
South Korea,1787,0
South Korea,1788,0
South Korea,1789,0
South Korea,1790,0
South Korea,1791,0
South Korea,1792,0
South Korea,1793,0
South Korea,1794,0
South Korea,1795,0
South Korea,1796,0
South Korea,1797,0
South Korea,1798,0
South Korea,1799,0
South Korea,1800,0
South Korea,1801,0
South Korea,1802,0
South Korea,1803,0
South Korea,1804,0
South Korea,1805,0
South Korea,1806,0
South Korea,1807,0
South Korea,1808,0
South Korea,1809,0
South Korea,1810,0
South Korea,1811,0
South Korea,1812,0
South Korea,1813,0
South Korea,1814,0
South Korea,1815,0
South Korea,1816,0
South Korea,1817,0
South Korea,1818,0
South Korea,1819,0
South Korea,1820,0
South Korea,1821,0
South Korea,1822,0
South Korea,1823,0
South Korea,1824,0
South Korea,1825,0
South Korea,1826,0
South Korea,1827,0
South Korea,1828,0
South Korea,1829,0
South Korea,1830,0
South Korea,1831,0
South Korea,1832,0
South Korea,1833,0
South Korea,1834,0
South Korea,1835,0
South Korea,1836,0
South Korea,1837,0
South Korea,1838,0
South Korea,1839,0
South Korea,1840,0
South Korea,1841,0
South Korea,1842,0
South Korea,1843,0
South Korea,1844,0
South Korea,1845,0
South Korea,1846,0
South Korea,1847,0
South Korea,1848,0
South Korea,1849,0
South Korea,1850,0
South Korea,1851,0
South Korea,1852,0
South Korea,1853,0
South Korea,1854,0
South Korea,1855,0
South Korea,1856,0
South Korea,1857,0
South Korea,1858,0
South Korea,1859,0
South Korea,1860,0
