Entity,Year,Number of internet users (OWID based on WB & UN)
Brazil,1990,0
Brazil,1991,4997
Brazil,1992,20010
Brazil,1993,40066
Brazil,1994,60165
Brazil,1995,170636
Brazil,1996,743411
Brazil,1997,1317038
Brazil,1998,2514909
Brazil,1999,3522098
Brazil,2000,5031955
Brazil,2001,8049430
Brazil,2002,16482783
Brazil,2003,24101487
Brazil,2004,35236408
Brazil,2005,39295164
Brazil,2006,53260636
Brazil,2007,58989026
Brazil,2008,65284806
Brazil,2009,76438210
Brazil,2010,79997683
Brazil,2011,90779948
Brazil,2012,97392413
Brazil,2013,103309366
Brazil,2014,111400310
Brazil,2015,120133479
Brazil,2016,126403573
Germany,1990,99604
Germany,1991,199129
Germany,1992,348429
Germany,1993,373319
Germany,1994,746622
Germany,1995,1492989
Germany,1996,2487416
Germany,1997,5469527
Germany,1998,8050374
Germany,1999,16985643
Germany,2000,24622623
Germany,2001,25806862
Germany,2002,39842914
Germany,2003,45662751
Germany,2004,52894546
Germany,2005,56116305
Germany,2006,58839519
Germany,2007,61138494
Germany,2008,63282136
Germany,2009,63962833
Germany,2010,66333724
Germany,2011,65775045
Germany,2012,66758038
Germany,2013,68400867
Germany,2014,70235938
Germany,2015,71567689
Germany,2016,73434128
Germany,2017,69300711
India,1990,0
India,1992,1008
India,1993,2016
India,1994,10077
India,1995,251924
India,1996,453560
India,1997,705842
India,1998,1412482
India,1999,2826612
India,2000,5555185
India,2001,7073322
India,2002,16759877
India,2003,18686779
India,2004,22253980
India,2005,27322412
India,2006,32599283
India,2007,46597409
India,2008,52435034
India,2009,62170631
India,2010,92323552
India,2011,125596668
India,2012,158894454
India,2013,193062893
India,2014,271710452
India,2015,340354035
India,2016,391255067
Kenya,1990,0
Kenya,1995,199
Kenya,1996,2488
Kenya,1997,9962
Kenya,1998,14963
Kenya,1999,34963
Kenya,2000,100031
Kenya,2001,200323
Kenya,2002,401150
Kenya,2003,1004097
Kenya,2004,1060500
Kenya,2005,1118181
Kenya,2006,1333874
Kenya,2007,1675780
Kenya,2008,2035718
Kenya,2009,2454469
Kenya,2010,2977211
Kenya,2011,3738842
Kenya,2012,4582896
Kenya,2013,5827490
Kenya,2014,7594001
Kenya,2015,7841219
Kenya,2016,8044620
South Korea,1990,9986
South Korea,1991,20008
South Korea,1992,43154
South Korea,1993,110828
South Korea,1994,139570
South Korea,1995,371307
South Korea,1996,743208
South Korea,1997,1663664
South Korea,1998,3162187
South Korea,1999,11075156
South Korea,2000,21181681
South Korea,2001,27005438
South Korea,2002,28514843
South Korea,2003,31613592
South Korea,2004,35258106
South Korea,2005,35800745
South Korea,2006,38187655
South Korea,2007,38661194
South Korea,2008,39867378
South Korea,2009,40293434
South Korea,2010,41475740
South Korea,2011,41665689
South Korea,2012,41994852
South Korea,2013,42528466
South Korea,2014,44115997
South Korea,2015,45483702
South Korea,2016,47156754
South Korea,2017,48482630
United States,1990,1981674
United States,1991,2965851
United States,1992,4439033
United States,1993,5906809
United States,1994,12776546
United States,1995,24539142
United States,1996,44135783
United States,1997,58826128
United States,1998,82919577
United States,1999,99968569
United States,2000,121475820
United States,2001,139807922
United States,2002,169012061
United States,2003,178938683
United States,2004,189443366
United States,2005,200593775
United States,2006,205295950
United States,2007,225446381
United States,2008,224496810
United States,2009,217314217
United States,2010,221265013
United States,2011,216894445
United States,2012,234061561
United States,2013,225293187
United States,2014,231934709
United States,2015,238520635
United States,2016,245425910
